Country,State,District,Category,Sub_Category,Year,Total_Crimes
Malaysia,Johor,Iskandar Puteri,property,break_in,1/1/2022,77
Malaysia,Johor,Iskandar Puteri,property,break_in,1/1/2023,103
Malaysia,Johor,Iskandar Puteri,property,theft_other,1/1/2021,114
Malaysia,Johor,Iskandar Puteri,property,theft_other,1/1/2022,125
Malaysia,Johor,Iskandar Puteri,property,theft_other,1/1/2023,205
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_lorry,1/1/2021,6
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_lorry,1/1/2022,5
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_lorry,1/1/2023,7
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,1/1/2021,56
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,1/1/2022,54
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,1/1/2023,44
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,1/1/2021,88
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,1/1/2022,95
Malaysia,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,1/1/2023,89
Malaysia,Johor,Johor Bahru Selatan,assault,all,1/1/2021,150
Malaysia,Johor,Johor Bahru Selatan,assault,all,1/1/2022,213
Malaysia,Johor,Johor Bahru Selatan,assault,all,1/1/2023,252
Malaysia,Johor,Johor Bahru Selatan,assault,causing_injury,1/1/2021,62
Malaysia,Johor,Johor Bahru Selatan,assault,causing_injury,1/1/2022,45
Malaysia,Johor,Johor Bahru Selatan,assault,causing_injury,1/1/2023,46
Malaysia,Johor,Johor Bahru Selatan,assault,murder,1/1/2021,5
Malaysia,Johor,Johor Bahru Selatan,assault,murder,1/1/2022,7
Malaysia,Johor,Johor Bahru Selatan,assault,murder,1/1/2023,8
Malaysia,Johor,Johor Bahru Selatan,assault,rape,1/1/2021,17
Malaysia,Johor,Johor Bahru Selatan,assault,rape,1/1/2022,26
Malaysia,Johor,Johor Bahru Selatan,assault,rape,1/1/2023,20
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,1/1/2021,0
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,1/1/2021,39
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,1/1/2022,68
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,1/1/2023,90
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,1/1/2021,27
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,1/1/2022,67
Malaysia,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,1/1/2023,88
Malaysia,Johor,Johor Bahru Selatan,property,all,1/1/2021,609
Malaysia,Johor,Johor Bahru Selatan,property,all,1/1/2022,733
Malaysia,Johor,Johor Bahru Selatan,property,all,1/1/2023,853
Malaysia,Johor,Johor Bahru Selatan,property,break_in,1/1/2021,191
Malaysia,Johor,Johor Bahru Selatan,property,break_in,1/1/2022,154
Malaysia,Johor,Johor Bahru Selatan,property,break_in,1/1/2023,173
Malaysia,Johor,Johor Bahru Selatan,property,theft_other,1/1/2021,142
Malaysia,Johor,Johor Bahru Selatan,property,theft_other,1/1/2022,253
Malaysia,Johor,Johor Bahru Selatan,property,theft_other,1/1/2023,259
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,1/1/2021,10
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,1/1/2022,5
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,1/1/2023,7
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,1/1/2021,89
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,1/1/2022,93
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,1/1/2023,110
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,1/1/2021,177
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,1/1/2022,228
Malaysia,Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,1/1/2023,304
Malaysia,Johor,Johor Bahru Utara,assault,all,1/1/2021,162
Malaysia,Johor,Johor Bahru Utara,assault,all,1/1/2022,148
Malaysia,Johor,Johor Bahru Utara,assault,all,1/1/2023,158
Malaysia,Johor,Johor Bahru Utara,assault,causing_injury,1/1/2021,57
